season_label,season_type,game_id,game_date,home_team,away_team,event_ticker,ticker,market_type,category,sub_category,title,subtitle,yes_sub_title,no_sub_title,status
2024-25,Playoffs,0042400141,2025-04-20,OKC,MEM,KXNBAGAME-25APR20MEMOKC,KXNBAGAME-25APR20MEMOKC-OKC,binary,,,Memphis vs Oklahoma City: Game 1 Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400141,2025-04-20,OKC,MEM,KXNBAGAME-25APR20MEMOKC,KXNBAGAME-25APR20MEMOKC-MEM,binary,,,Memphis vs Oklahoma City: Game 1 Winner?,,Memphis,Memphis,finalized
2024-25,Playoffs,0042400151,2025-04-20,HOU,GSW,KXNBAGAME-25APR20GSWHOU,KXNBAGAME-25APR20GSWHOU-HOU,binary,,,Golden State vs Houston: Game 1 Winner? Winner?,,Houston,Houston,finalized
2024-25,Playoffs,0042400151,2025-04-20,HOU,GSW,KXNBAGAME-25APR20GSWHOU,KXNBAGAME-25APR20GSWHOU-GSW,binary,,,Golden State vs Houston: Game 1 Winner? Winner?,,Golden State,Golden State,finalized
2024-25,Playoffs,0042400122,2025-04-21,NYK,DET,KXNBAGAME-25APR21DETNYK,KXNBAGAME-25APR21DETNYK-NYK,binary,,,Detroit vs New York Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400122,2025-04-21,NYK,DET,KXNBAGAME-25APR21DETNYK,KXNBAGAME-25APR21DETNYK-DET,binary,,,Detroit vs New York Winner?,,Detroit,Detroit,finalized
2024-25,Playoffs,0042400172,2025-04-21,DEN,LAC,KXNBAGAME-25APR21LACDEN,KXNBAGAME-25APR21LACDEN-LAC,binary,,,Los Angeles C vs Denver Winner?,,Los Angeles C,Los Angeles C,finalized
2024-25,Playoffs,0042400172,2025-04-21,DEN,LAC,KXNBAGAME-25APR21LACDEN,KXNBAGAME-25APR21LACDEN-DEN,binary,,,Los Angeles C vs Denver Winner?,,Denver,Denver,finalized
2024-25,Playoffs,0042400132,2025-04-22,IND,MIL,KXNBAGAME-25APR22MILIND,KXNBAGAME-25APR22MILIND-MIL,binary,,,Milwaukee vs Indiana Winner?,,Milwaukee,Milwaukee,finalized
2024-25,Playoffs,0042400132,2025-04-22,IND,MIL,KXNBAGAME-25APR22MILIND,KXNBAGAME-25APR22MILIND-IND,binary,,,Milwaukee vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400142,2025-04-22,OKC,MEM,KXNBAGAME-25APR22MEMOKC,KXNBAGAME-25APR22MEMOKC-OKC,binary,,,Memphis vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400142,2025-04-22,OKC,MEM,KXNBAGAME-25APR22MEMOKC,KXNBAGAME-25APR22MEMOKC-MEM,binary,,,Memphis vs Oklahoma City Winner?,,Memphis,Memphis,finalized
2024-25,Playoffs,0042400162,2025-04-22,LAL,MIN,KXNBAGAME-25APR22MINLAL,KXNBAGAME-25APR22MINLAL-MIN,binary,,,Minnesota vs Los Angeles L Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400162,2025-04-22,LAL,MIN,KXNBAGAME-25APR22MINLAL,KXNBAGAME-25APR22MINLAL-LAL,binary,,,Minnesota vs Los Angeles L Winner?,,Los Angeles L,Los Angeles L,finalized
2024-25,Playoffs,0042400102,2025-04-23,CLE,MIA,KXNBAGAME-25APR23MIACLE,KXNBAGAME-25APR23MIACLE-MIA,binary,,,Miami vs Cleveland Winner?,,Miami,Miami,finalized
2024-25,Playoffs,0042400102,2025-04-23,CLE,MIA,KXNBAGAME-25APR23MIACLE,KXNBAGAME-25APR23MIACLE-CLE,binary,,,Miami vs Cleveland Winner?,,Cleveland,Cleveland,finalized
2024-25,Playoffs,0042400112,2025-04-23,BOS,ORL,KXNBAGAME-25APR23ORLBOS,KXNBAGAME-25APR23ORLBOS-ORL,binary,,,Orlando vs Boston Winner?,,Orlando,Orlando,finalized
2024-25,Playoffs,0042400112,2025-04-23,BOS,ORL,KXNBAGAME-25APR23ORLBOS,KXNBAGAME-25APR23ORLBOS-BOS,binary,,,Orlando vs Boston Winner?,,Boston,Boston,finalized
2024-25,Playoffs,0042400152,2025-04-23,HOU,GSW,KXNBAGAME-25APR23GSWHOU,KXNBAGAME-25APR23GSWHOU-HOU,binary,,,Golden State vs Houston Winner?,,Houston,Houston,finalized
2024-25,Playoffs,0042400152,2025-04-23,HOU,GSW,KXNBAGAME-25APR23GSWHOU,KXNBAGAME-25APR23GSWHOU-GSW,binary,,,Golden State vs Houston Winner?,,Golden State,Golden State,finalized
2024-25,Playoffs,0042400123,2025-04-24,DET,NYK,KXNBAGAME-25APR24NYKDET,KXNBAGAME-25APR24NYKDET-DET,binary,,,New York vs Detroit Winner?,,Detroit,Detroit,finalized
2024-25,Playoffs,0042400123,2025-04-24,DET,NYK,KXNBAGAME-25APR24NYKDET,KXNBAGAME-25APR24NYKDET-NYK,binary,,,New York vs Detroit Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400143,2025-04-24,MEM,OKC,KXNBAGAME-25APR24OKCMEM,KXNBAGAME-25APR24OKCMEM-OKC,binary,,,Oklahoma City vs Memphis Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400143,2025-04-24,MEM,OKC,KXNBAGAME-25APR24OKCMEM,KXNBAGAME-25APR24OKCMEM-MEM,binary,,,Oklahoma City vs Memphis Winner?,,Memphis,Memphis,finalized
2024-25,Playoffs,0042400173,2025-04-24,LAC,DEN,KXNBAGAME-25APR24DENLAC,KXNBAGAME-25APR24DENLAC-LAC,binary,,,Denver vs Los Angeles C Winner?,,Los Angeles C,Los Angeles C,finalized
