event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25OCT31DENPOR,KXNBAGAME,Denver vs Portland,DEN at POR (Oct 31),,2025-10-31,DEN,POR
KXNBAGAME-25OCT31LALMEM,KXNBAGAME,Los Angeles L vs Memphis,LAL at MEM (Oct 31),,2025-10-31,LAL,MEM
KXNBAGAME-25OCT31NYKCHI,KXNBAGAME,New York vs Chicago,NYK at CHI (Oct 31),,2025-10-31,NYK,CHI
KXNBAGAME-25OCT31TORCLE,KXNBAGAME,Toronto vs Cleveland,TOR at CLE (Oct 31),,2025-10-31,TOR,CLE
KXNBAGAME-25OCT31BOSPHI,KXNBAGAME,Boston vs Philadelphia,BOS at PHI (Oct 31),,2025-10-31,BOS,PHI
KXNBAGAME-25OCT31ATLIND,KXNBAGAME,Atlanta vs Indiana,ATL at IND (Oct 31),,2025-10-31,ATL,IND
KXNBAGAME-25OCT30MIASAS,KXNBAGAME,Miami vs San Antonio,MIA at SAS (Oct 30),,2025-10-30,MIA,SAS
KXNBAGAME-25OCT30WASOKC,KXNBAGAME,Washington vs Oklahoma City,WAS at OKC (Oct 30),,2025-10-30,WAS,OKC
KXNBAGAME-25OCT30GSWMIL,KXNBAGAME,Golden State vs Milwaukee,GSW at MIL (Oct 30),,2025-10-30,GSW,MIL
KXNBAGAME-25OCT30ORLCHA,KXNBAGAME,Orlando vs Charlotte,ORL at CHA (Oct 30),,2025-10-30,ORL,CHA
KXNBAGAME-25OCT29MEMPHX,KXNBAGAME,Memphis vs Phoenix,MEM at PHX (Oct 29),,2025-10-29,MEM,PHX
KXNBAGAME-25OCT29LALMIN,KXNBAGAME,Los Angeles L vs Minnesota,LAL at MIN (Oct 29),,2025-10-29,LAL,MIN
KXNBAGAME-25OCT29PORUTA,KXNBAGAME,Portland vs Utah,POR at UTA (Oct 29),,2025-10-29,POR,UTA
KXNBAGAME-25OCT29NOPDEN,KXNBAGAME,New Orleans vs Denver,NOP at DEN (Oct 29),,2025-10-29,NOP,DEN
KXNBAGAME-25OCT29INDDAL,KXNBAGAME,Indiana vs Dallas,IND at DAL (Oct 29),,2025-10-29,IND,DAL
KXNBAGAME-25OCT29SACCHI,KXNBAGAME,Sacramento vs Chicago,SAC at CHI (Oct 29),,2025-10-29,SAC,CHI
KXNBAGAME-25OCT29ATLBKN,KXNBAGAME,Atlanta vs Brooklyn,ATL at BKN (Oct 29),,2025-10-29,ATL,BKN
